Kecamatan,Laki-Laki,Perempuan,Total
Pinangsori,13490,	13263,	26753
Badiri,	14706,	14051,	28757
Sibabangun,	9674,	9553,	19227
Lumut,	6723,	6657,	13380
Sukabangun,	2101,	2054,	4155
Pandan,	32287,	31384,	63671
Tukka,	7692,	7676,	15368
Sarudik,	12224,	11695,	23919
Tapian Nauli,	10916,	10432,	21348
Sitahuis,	3106,	3126,	6232
Kolang,	11208,	10846,	22054
Sorkam,	8560,	8872,	17432
Sorkam Barat,	9441,	9268,	18709
Pasaribu Tobing, 3926,	4003,	7929
Barus,	9360,	8867,	18227
Sosorgadong,	7654,	7778,	15432
Andam Dewi,	8453,	8579,	17032
Barus Utara,	2490,	2624,	5114
Manduamas,	12156,	12158,	24314
Sirandorung, 8919,	8923,	17842